Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,FrameType,CPUStartTime,FrameTime,CPUBusy,CPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,InstrumentedLatency
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,788.1875,49.6760,49.3395,0.3365,93.1857,25.0536,1.0613,752.2937,0.0006,58.1797
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,837.8635,0.6693,0.4706,0.1987,68.5633,26.2457,NA,0.0000,24.7520,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,838.5328,50.3857,50.0397,0.3460,94.1397,24.5578,-1.4422,802.1508,0.3650,59.6219
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,888.9185,0.4357,0.2673,0.1684,68.3118,24.0123,NA,0.0000,24.3248,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,889.3542,48.5450,48.1493,0.3957,91.8884,25.0279,1.5015,852.2224,0.0009,58.1204
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,937.8992,0.4071,0.2428,0.1643,68.3713,26.2037,NA,0.0000,24.7140,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,938.3063,49.5126,49.1459,0.3667,94.1679,24.7737,-0.8251,902.6289,0.4300,58.9455
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,987.8189,0.4741,0.2626,0.2115,69.4290,25.5527,NA,0.0000,24.4892,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,988.2930,50.6013,50.1932,0.4081,94.5076,25.0753,-0.1522,952.8031,0.0007,59.0977
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1038.8943,0.4783,0.2657,0.2126,68.9816,24.6430,NA,0.0000,24.7578,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1039.3726,49.0273,48.6598,0.3675,93.1463,24.9681,0.2298,1002.7512,0.0005,58.8679
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1088.3999,0.3930,0.2269,0.1661,69.0871,25.6351,NA,0.0000,24.6458,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1088.7929,49.6110,49.3054,0.3056,94.3292,24.7152,-0.7666,1052.5878,0.1958,59.6345
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1138.4039,0.4331,0.2722,0.1609,69.4334,24.7491,NA,0.0000,24.4364,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1138.8370,49.7913,49.4354,0.3559,93.7494,25.0109,0.5807,1102.6328,0.0007,59.0538
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1188.6283,0.4622,0.3020,0.1602,68.9690,25.1398,NA,0.0000,24.7509,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1189.0905,48.4837,48.2058,0.2779,93.6466,24.8829,-0.2586,1152.5249,0.0588,59.3124
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1237.5742,0.3546,0.1954,0.1592,70.0458,23.3763,NA,0.0000,24.6294,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,1237.9288,50.0201,49.6846,0.3355,93.0675,25.0818,1.9120,1202.6961,0.0008,57.4004
