frame	event	value	status_or_groups
1	group	1	0
1	d3d	ResourceBarrier	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	d3d	ResourceBarrier	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	d3d	ResourceBarrier	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	d3d	ResourceBarrier	0
1	group	1	0
1	d3d	ResourceBarrier	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	d3d	ResourceBarrier	0
1	group	1	0
1	d3d	ResourceBarrier	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	d3d	ResourceBarrier	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	d3d	ResourceBarrier	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	d3d	ResourceBarrier	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	d3d	ResourceBarrier	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	d3d	ResourceBarrier	0
1	group	1	0
1	d3d	ResourceBarrier	0
1	group	1	0
1	d3d	ResourceBarrier	0
1	frame_launches	156	156
2	d3d	SetDescriptorHeaps	0
2	d3d	SetDescriptorHeaps	0
2	d3d	ResourceBarrier	0
2	group	1	0
2	d3d	ResourceBarrier	0
2	group	1	0
2	d3d	ResourceBarrier	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	d3d	ResourceBarrier	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	d3d	ResourceBarrier	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	d3d	ResourceBarrier	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	d3d	ResourceBarrier	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	d3d	ResourceBarrier	0
2	group	1	0
2	d3d	ResourceBarrier	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	d3d	ResourceBarrier	0
2	group	1	0
2	d3d	ResourceBarrier	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	d3d	ResourceBarrier	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	d3d	ResourceBarrier	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	d3d	ResourceBarrier	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	d3d	ResourceBarrier	0
2	group	1	0
2	group	1	0
2	group	1	0
2	group	1	0
2	d3d	ResourceBarrier	0
2	group	1	0
2	d3d	ResourceBarrier	0
2	group	1	0
2	d3d	ResourceBarrier	0
2	frame_launches	156	156
