cc_tinlayout_fused_swin_4h_128_4_ds_wait_fp8	grid=6,6,1	block=32,4,1	shared=0	bytes=88	params=00ec5f1a0000000000ecb71a0000000000b86c080000000000000000000000002800000028000000fcfffffffcffffff0026201a0000000000000000000000000000000000000000000c631a000000001400000014000000
cc_tinlayout_fused_swin_8h_256_8_inpview_tilesync_fp8	grid=3,3,1	block=32,8,1	shared=0	bytes=88	params=000c631a00000000006c531a00000000003c700800000000000000000000000014000000140000000000000000000000000000000000000000000000000000000028201a0000000000000000000000000000000000000000
cc_tinlayout_fused_swin_8h_256_8_chained_fp8	grid=3,3,1	block=32,8,1	shared=0	bytes=88	params=006c531a0000000000fc541a0000000000c27a080000000000000000000000001400000014000000fcfffffffcffffff0028201a000000000000000000000000002a201a0000000000000000000000000000000000000000
cc_tinlayout_fused_swin_8h_256_8_ds_wait_fp8	grid=3,3,1	block=32,8,1	shared=0	bytes=88	params=00cc5c1a00000000000cdb1a000000000038ba08000000000000000000000000140000001400000000000000fcffffff0034201a00000000fcffffff000000000000000000000000005c5e1a000000000c0000000c000000
cc_split_swin_16h_ffwd_inpview_512_tilesync_fp8	grid=2,2,2	block=32,4,1	shared=0	bytes=56	params=005c5e1a00000000006c531a0000000000bec608000000000c0000000c000000000000000000000000000000000000000036201a00000000
cc_split_swin_16h_ffwd_proj_inpview_512_chained_fp8	grid=4,2,1	block=32,4,1	shared=0	bytes=72	params=006c531a00000000005c5e1a00000000008c541a0000000000bece08000000000c0000000c00000000000000000000000038201a000000000036201a000000000000000000000000
cc_split_swin_16h_qkv_512_chained_fp8	grid=2,2,4	block=32,4,1	shared=0	bytes=56	params=008c541a0000000000ac551a0000000000c2d208000000000c0000000c00000000000000000000000038201a00000000003a201a00000000
cc_split_swin_16h_proj_512_chained_fp8	grid=4,2,1	block=32,8,1	shared=0	bytes=72	params=00ac551a00000000008c541a0000000000cc561a0000000000c4e008000000000c0000000c0000000000000000000000003c201a00000000003a201a000000000000000000000000
cc_split_swin_16h_ffwd_512_chained_fp8	grid=2,2,2	block=32,8,1	shared=0	bytes=56	params=00cc561a0000000000ec571a0000000000c8e408000000000c0000000c000000003c201a000000000000000000000000003e201a00000000
cc_split_swin_16h_ffwd_proj_512_chained_fp8	grid=4,2,1	block=32,4,1	shared=0	bytes=72	params=00ec571a0000000000cc561a00000000000c591a0000000000c8ec08000000000c0000000c00000000000000000000000040201a00000000003e201a000000000000000000000000
cc_split_swin_16h_proj_pool_512_chained_fp8	grid=4,2,1	block=32,4,1	shared=0	bytes=80	params=006c7e1a00000000004c7d1a00000000009cdc1a00000000008c5d1a00000000005cb309000000000072201a000000000074201a0000000000000000fcffffff0c0000000c0000000800000008000000
cc_split_swin_16h_final_head_512_wait_fp8	grid=4,1,1	block=32,8,1	shared=0	bytes=40	params=008c5d1a00000000006c841a000000000060b709000000000074201a000000000800000008000000
cc_vit_1d_repack_2d_to_1d_fp8	grid=64,1,1	block=256,1,1	shared=0	bytes=24	params=006c841a0000000000bcdd1a000000000800000008000000
cc_vit_1d_ffn_expand_publish_fp8	grid=32,1,1	block=32,4,1	shared=0	bytes=72	params=00bcdd1a00000000000000000000000000ec971a000000000062bf09000000000000000000000000000000000000000000000000000000000076201a000000000800000008000000
cc_vit_1d_ffn_contract_chained_fp8	grid=8,1,4	block=32,4,1	shared=0	bytes=72	params=00ec971a0000000000bcdd1a0000000000bcdf1a000000000064ff09000000000078201a00000000000ccd1a000000000076201a00000000007a201a000000000800000008000000
cc_vit_1d_qkv_chained_fp8	grid=16,1,2	block=32,4,1	shared=0	bytes=80	params=00bcdf1a0000000000bce01a0000000000bce21a0000000000bce11a00000000006c3f0a00000000007c201a00000000006c781a00000000007a201a00000000007e201a000000000800000008000000
cc_vit_1d_attention_chained_fp8	grid=32,1,1	block=32,4,1	shared=0	bytes=64	params=00bce01a0000000000bce21a0000000000bce11a0000000000bce31a00000000006e6f0a00000000007e201a000000000080201a000000000800000008000000
cc_vit_1d_projection_chained_fp8	grid=8,1,4	block=32,4,1	shared=0	bytes=72	params=00bce31a0000000000bcdf1a0000000000bce41a0000000000706f0a000000000082201a00000000000ccf1a000000000080201a000000000084201a000000000800000008000000
cc_vit_1d_ffn_expand_chained_fp8	grid=32,1,1	block=32,4,1	shared=0	bytes=72	params=00bce41a00000000000000000000000000ec9b1a0000000000787f0a00000000000000000000000000000000000000000084201a000000000086201a000000000800000008000000
cc_vit_1d_projection_wait_fp8	grid=8,1,4	block=32,4,1	shared=0	bytes=72	params=00bc0d1b0000000000bc091b0000000000bcde1a00000000000ab00f0000000000f2201a00000000000cc91a0000000000f0201a0000000000000000000000000800000008000000
cc_vit_1d_repack_1d_to_2d_fp8	grid=64,1,1	block=256,1,1	shared=0	bytes=24	params=00bcde1a0000000000bc0e1b000000000800000008000000
cc_dec_input_upsample_1024_512_tilesync_fp8	grid=4,2,4	block=32,2,1	shared=0	bytes=80	params=00bc0e1b00000000009cdc1a00000000006c531a00000000008c7f1a0000000000f4201a0000000000f6201a00000000008c801a000000000012c00f0000000008000000080000000c0000000c000000
cc_split_swin_16h_proj_512_outview_wait_fp8	grid=4,2,1	block=32,4,1	shared=0	bytes=72	params=004c7d1a00000000002c7c1a00000000006c7e1a0000000000bcb410000000000c0000000c000000000000000000000000000000000000000034211a0000000000000000fcffffff
cc_tinlayout_fused_swin_8h_256_8_upsample_tilesync_fp8	grid=3,3,1	block=32,8,1	shared=0	bytes=88	params=006c7e1a00000000006c531a0000000000c0b81000000000000cdb1a0000000014000000140000000000000000000000000000000000000000000000000000000036211a0000000000000000000000000000000000000000
cc_tinlayout_fused_swin_8h_256_8_outview_wait_fp8	grid=3,3,1	block=32,8,1	shared=0	bytes=88	params=00cc5c1a00000000000c631a00000000005e0511000000000000000000000000140000001400000000000000fcffffff0042211a00000000fcffffff00000000000000000000000000000000000000000000000000000000
cc_tinlayout_fused_swin_4h_128_4_upsample_tilesync_fp8	grid=6,5,1	block=32,4,1	shared=0	bytes=88	params=000c631a00000000006c531a0000000000e40f110000000000ecb71a000000002800000028000000fcffffff00000000000000000000000000000000000000000044211a0000000000000000000000000000000000000000
cc_tinlayout_fused_swin_4h_128_4_outview_wait_fp8	grid=5,6,1	block=32,4,1	shared=0	bytes=88	params=00ec5f1a00000000006c6c1a00000000006a2011000000000000000000000000280000002800000000000000fcffffff004c211a00000000fcffffff00000000000000000000000000000000000000000000000000000000
cc_tinlayout_fused_swin_2h_64_2_upsample_tilesync_fp8	grid=10,10,1	block=32,2,1	shared=0	bytes=88	params=006c6c1a00000000006c531a00000000006e231100000000002c661a000000005000000050000000000000000000000000000000000000000000000000000000004e211a0000000000000000000000000000000000000000
cc_tinlayout_fused_swin_2h_64_2_outview_wait_fp8	grid=10,11,1	block=32,2,1	shared=0	bytes=88	params=00ec5f1a0000000000ec911a0000000000642611000000000000000000000000500000005000000000000000fcffffff0052211a00000000fcffffff00000000000000000000000000000000000000000000000000000000
cc_tinlayout_fused_swin_1h_32_1_upsample_tilesync_fp8	grid=20,20,1	block=32,1,1	shared=0	bytes=96	params=00ec911a00000000006c531a000000000056271100000000a0000000a00000000000000000000000000000000000000000000000000000000054211a0000000000000000000000000000000000000000006c851a00000000a0000000a0000000
cc_tinlayout_fused_swin_1h_32_1_outview_wait_fp8	grid=20,21,1	block=32,1,1	shared=0	bytes=96	params=006c6c1a0000000000ec781a000000000054281100000000a0000000a000000000000000fcffffff0064211a00000000fcffffff000000000000000000000000000000000000000000000000000000000000000000000000a0000000a0000000
cc_tinlayout_fused_post_block_swin_1h_32_fp8	grid=41,41,1	block=32,1,1	shared=0	bytes=184	params=00ec781a00000000006c211a000000000288000000000000009a2911000000004001000040010000fcfffffffcffffff0000003d010000000188a07f00000000000000000000000000008043000080430000803b0000803b000000000000000000000000000000000098291100000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000803b0000803b000100000001000000000000
cg2r_copy_kernel	grid=16,16,1	block=16,16,1	shared=0	bytes=72	params=0388a07f000000000488000000000000000000000000000000008043000080430000803b0000803b000000000000000000008043000080430000803b0000803b0001000000010000
