cc_cb_clear	grid=91,1,1	block=256,1,1	shared=0	bytes=16	params=0000201a00000000005b000000000000
cc_tinlayout_fused_pre_block_swin_1h_32_1_ds_fp8	grid=40,40,1	block=32,1,1	shared=0	bytes=264	params=0188a07f000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008043000080430000803b0000803b0000803b0000803b010000000000803f0000803f000000000000803f0000803f010000000000803d00000000000000000001000000010000006c211a00000000000060080000000000000000000000004001000040010000006c531a00000000a0000000a0000000
cc_tinlayout_fused_swin_1h_32_1_inpview_tilesync_fp8	grid=20,20,1	block=32,1,1	shared=0	bytes=96	params=006c531a0000000000ec5f1a000000000056600800000000a0000000a00000000000000000000000000000000000000000000000000000000000201a000000000000000000000000000000000000000000000000000000000000000000000000
cc_tinlayout_fused_swin_1h_32_1_chained_fp8	grid=21,21,1	block=32,1,1	shared=0	bytes=96	params=00ec5f1a00000000006c6c1a0000000000daa40800000000a0000000a0000000fcfffffffcffffff0000201a0000000000000000000000000008201a000000000000000000000000000000000000000000000000000000000000000000000000
cc_tinlayout_fused_swin_1h_32_1_ds_wait_fp8	grid=20,21,1	block=32,1,1	shared=0	bytes=96	params=00ec781a00000000006c851a000000000016c80f00000000a0000000a000000000000000fcffffff0010201a00000000fcffffff00000000000000000000000000ec911a00000000500000005000000000000000000000000000000000000000
cc_tinlayout_fused_swin_2h_64_2_inpview_tilesync_fp8	grid=10,10,1	block=32,2,1	shared=0	bytes=88	params=00ec911a00000000006c531a0000000000cecf1000000000000000000000000050000000500000000000000000000000000000000000000000000000000000000018201a0000000000000000000000000000000000000000
cc_tinlayout_fused_swin_2h_64_2_chained_fp8	grid=11,11,1	block=32,2,1	shared=0	bytes=88	params=006c531a0000000000ac591a0000000000741c110000000000000000000000005000000050000000fcfffffffcffffff0018201a000000000000000000000000001a201a0000000000000000000000000000000000000000
cc_tinlayout_fused_swin_2h_64_2_ds_wait_fp8	grid=10,11,1	block=32,2,1	shared=0	bytes=88	params=00ec5f1a00000000002c661a0000000000f02911000000000000000000000000500000005000000000000000fcffffff001c201a00000000fcffffff000000000000000000000000006c6c1a000000002800000028000000
cc_tinlayout_fused_swin_4h_128_4_inpview_tilesync_fp8	grid=5,5,1	block=32,4,1	shared=0	bytes=88	params=006c6c1a00000000006c531a0000000000022b110000000000000000000000002800000028000000000000000000000000000000000000000000000000000000001e201a0000000000000000000000000000000000000000
cc_tinlayout_fused_swin_4h_128_4_chained_fp8	grid=6,6,1	block=32,4,1	shared=0	bytes=88	params=006c531a00000000008c561a0000000000a860080000000000000000000000002800000028000000fcfffffffcffffff001e201a0000000000000000000000000020201a0000000000000000000000000000000000000000
