original parameter 0 offset=0 bytes=16
timing n=4096 run=3 variant=0 mean_us=4.535296
timing n=4096 run=3 variant=1 mean_us=4.648960
timing n=4096 run=3 variant=2 mean_us=4.560896
PASS n=57600 bit-exact output and prefix/suffix guards
timing n=57600 run=0 variant=0 mean_us=4.469760
timing n=57600 run=0 variant=1 mean_us=5.365856
timing n=57600 run=0 variant=2 mean_us=4.341760
timing n=57600 run=1 variant=1 mean_us=4.432896
timing n=57600 run=1 variant=2 mean_us=4.576256
timing n=57600 run=1 variant=0 mean_us=5.232640
timing n=57600 run=2 variant=2 mean_us=4.513792
timing n=57600 run=2 variant=0 mean_us=4.501504
timing n=57600 run=2 variant=1 mean_us=4.464640
timing n=57600 run=3 variant=0 mean_us=4.381696
timing n=57600 run=3 variant=1 mean_us=4.436992
timing n=57600 run=3 variant=2 mean_us=5.562367
PASS n=3686400 bit-exact output and prefix/suffix guards
timing n=3686400 run=0 variant=0 mean_us=20.449282
timing n=3686400 run=0 variant=1 mean_us=21.831680
timing n=3686400 run=0 variant=2 mean_us=19.742720
timing n=3686400 run=1 variant=1 mean_us=19.660799
timing n=3686400 run=1 variant=2 mean_us=21.719040
timing n=3686400 run=1 variant=0 mean_us=21.258240
timing n=3686400 run=2 variant=2 mean_us=19.650558
timing n=3686400 run=2 variant=0 mean_us=19.650558
timing n=3686400 run=2 variant=1 mean_us=21.790720
timing n=3686400 run=3 variant=0 mean_us=20.480000
timing n=3686400 run=3 variant=1 mean_us=19.609600
timing n=3686400 run=3 variant=2 mean_us=27.699202
